sample airfoil
1.0000000000000000 0.0000000000000000
0.7777777777777778 0.0300872080462555
0.5833333333333334 0.0401450441172769
0.4166666666666666 0.0404230581718145
0.2777777777777778 0.0906630907091840
0.1666666666666667 0.0174626842699855
0.0833333333333333 0.0615910956838768
0.0277777777777778 0.0350145845600013
0.0000000000000000 0.0079394820163613
0.0000000000000000 0.0000000000000000
0.0000000000000000 -0.0079394820163613
0.0277777777777778 -0.0350145845600013
0.0833333333333333 -0.0615910956838768
0.1666666666666667 -0.0174626842699855
0.2777777777777778 -0.0906630907091840
0.4166666666666666 -0.0404230581718145
0.5833333333333334 -0.0401450441172769
0.7777777777777778 -0.0300872080462555
1.0000000000000000 0.0000000000000000
